 ,Label,Circ.,AR,Round,Solidity
431,arabidopsis_135.jpg,0.450,2.674,0.374,0.951
432,arabidopsis_136.jpg,0.515,2.545,0.393,0.943
433,arabidopsis_137.jpg,0.452,2.437,0.410,0.933
434,arabidopsis_138.jpg,0.447,2.215,0.451,0.899
435,arabidopsis_139.jpg,0.346,3.027,0.330,0.882
436,arabidopsis_14.jpg,0.495,2.492,0.401,0.910
437,arabidopsis_140.jpg,0.426,2.341,0.427,0.905
438,arabidopsis_141.jpg,0.430,2.526,0.396,0.905
439,arabidopsis_142.jpg,0.356,2.458,0.407,0.830
440,arabidopsis_143.jpg,0.440,2.409,0.415,0.912
441,arabidopsis_144.jpg,0.425,3.072,0.325,0.887
442,arabidopsis_145.jpg,0.339,2.882,0.347,0.864
443,arabidopsis_146.jpg,0.317,3.362,0.297,0.886
444,arabidopsis_147.jpg,0.434,2.473,0.404,0.911
445,arabidopsis_148.jpg,0.489,1.814,0.551,0.867
446,arabidopsis_149.jpg,0.274,3.626,0.276,0.793
447,arabidopsis_15.jpg,0.362,3.251,0.308,0.895
448,arabidopsis_150.jpg,0.407,2.626,0.381,0.885
449,arabidopsis_151.jpg,0.410,2.619,0.382,0.904
450,arabidopsis_152.jpg,0.443,2.546,0.393,0.935
451,arabidopsis_153.jpg,0.472,2.809,0.356,0.955
452,arabidopsis_154.jpg,0.575,2.199,0.455,0.964
453,arabidopsis_155.jpg,0.347,2.773,0.361,0.886
454,arabidopsis_156.jpg,0.423,2.594,0.385,0.913
455,arabidopsis_157.jpg,0.396,2.689,0.372,0.906
456,arabidopsis_158.jpg,0.402,2.693,0.371,0.893
457,arabidopsis_159.jpg,0.445,3.258,0.307,0.944
458,arabidopsis_16.jpg,0.332,3.545,0.282,0.880
459,arabidopsis_160.jpg,0.545,2.381,0.420,0.941
460,arabidopsis_161.jpg,0.247,3.698,0.270,0.813
461,arabidopsis_162.jpg,0.310,3.293,0.304,0.873
462,arabidopsis_163.jpg,0.234,2.624,0.381,0.847
463,arabidopsis_164.jpg,0.331,3.734,0.268,0.884
464,arabidopsis_165.jpg,0.219,4.375,0.229,0.809
465,arabidopsis_166.jpg,0.215,3.834,0.261,0.680
466,arabidopsis_167.jpg,0.453,2.371,0.422,0.888
467,arabidopsis_168.jpg,0.200,3.448,0.290,0.578
468,arabidopsis_169.jpg,0.395,3.501,0.286,0.959
469,arabidopsis_17.jpg,0.344,2.978,0.336,0.820
470,arabidopsis_170.jpg,0.436,2.746,0.364,0.912
471,arabidopsis_171.jpg,0.602,2.082,0.480,0.954
472,arabidopsis_172.jpg,0.385,2.436,0.411,0.838
473,arabidopsis_173.jpg,0.429,2.875,0.348,0.943
474,arabidopsis_174.jpg,0.379,3.494,0.286,0.882
475,arabidopsis_175.jpg,0.323,3.072,0.325,0.885
476,arabidopsis_176.jpg,0.176,4.706,0.213,0.595
477,arabidopsis_177.jpg,0.299,2.650,0.377,0.782
478,arabidopsis_178.jpg,0.339,2.700,0.370,0.802
479,arabidopsis_179.jpg,0.409,3.004,0.333,0.900
480,arabidopsis_18.jpg,0.375,3.445,0.290,0.884
481,arabidopsis_180.jpg,0.268,2.850,0.351,0.832
482,arabidopsis_181.jpg,0.232,4.449,0.225,0.807
483,arabidopsis_182.jpg,0.340,2.985,0.335,0.832
484,arabidopsis_183.jpg,0.409,3.252,0.308,0.898
485,arabidopsis_184.jpg,0.418,3.203,0.312,0.921
486,arabidopsis_185.jpg,0.225,3.827,0.261,0.756
487,arabidopsis_186.jpg,0.229,2.941,0.340,0.783
488,arabidopsis_187.jpg,0.281,2.895,0.345,0.788
489,arabidopsis_188.jpg,0.182,3.803,0.263,0.507
490,arabidopsis_189.jpg,0.276,3.724,0.268,0.843
491,arabidopsis_19.jpg,0.343,3.256,0.307,0.856
492,arabidopsis_190.jpg,0.376,3.143,0.318,0.862
493,arabidopsis_191.jpg,0.250,2.857,0.350,0.667
494,arabidopsis_192.jpg,0.201,3.717,0.269,0.657
495,arabidopsis_193.jpg,0.311,2.453,0.408,0.776
496,arabidopsis_194.jpg,0.373,2.700,0.370,0.841
